symptoms,dosha
dry skin|constipation|insomnia|tremors|anxiety|cold hands|joint pain|dizziness,Vata
dry lips|flatulence|muscle spasms|memory loss|nervousness|panic attacks|restless mind,Vata
cold extremities|back pain|bone loss|incontinence|tinnitus,Vata
irregular appetite|weight loss|dry cough|earache|hypertension|palpitations,Vata
heartburn|acidity|skin rashes|acne|boils|ulcers|irritability|fever,Pitta
hot flashes|night sweats|loose stools|migraine|inflammation|jaundice|burning eyes,Pitta
hyperacidity|photosensitivity|eczema|psoriasis|IBS|hepatitis,Pitta
peptic ulcers|excessive sweating|hyperthermia|bleeding disorders,Pitta
lethargy|weight gain|fluid retention|high cholesterol|thyroid issues|depression,Kapha
excess mucus|congestion|allergies|sinusitis|sleepiness|edema,Kapha
obesity|joint swelling|hypothyroidism|dull mood|deep sleep|low appetite,Kapha
diabetes|hypoglycemia|oligospermia|obesity|blood pressure,Kapha
gout|vatarakta|rhinitis|vomiting|fainting,Vata
bleeding disorders|acid reflux|Steel ulcers|jaundice|stomatitis,Pitta
psoriasis|acne|eczema|dermatitis|boils|skin cancer,Pitta
osteoporosis|arthritis|neuropathy|colic|IBS|memory loss,Vata
migraine|inflammatory arthritis|autoimmune fever|inflam skin,Pitta
obesity|thyroid|edema|diabetes|mucus stools|depression,Kapha
